nama_puskesmas,tenaga_kesehatan_masyarakat,tenaga_gizi,jumlah_posyandu,tenaga_keperawatan,tenaga_kebidanan,kematian_bayi,kelahiran_bayi,bayi_berat_badan_lahir_rendah,jumlah_balita,balita_kurang_gizi,tuberkulosis_anak,pneumonia_balita,diare_balita,tahun
Temon I,2,3,50,14,62,3,144,12,789,50,11,17,155,2022
Temon II,1,1,47,3,38,1,118,6,630,33,6,1,139,2022
Wates,1,1,68,8,7,4,495,20,2260,183,43,21,448,2022
Panjatan I,0,0,58,4,4,2,219,20,1039,34,23,55,205,2022
Panjatan II,1,1,42,14,10,0,163,6,910,49,18,3,168,2022
Galur I,1,2,45,6,5,3,195,16,1098,44,8,11,194,2022
Galur II,2,1,30,17,4,0,96,4,451,27,6,4,85,2022
Lendah I,0,2,30,5,4,5,143,9,904,48,14,13,166,2022
Lendah II,0,2,32,6,8,3,225,14,1273,91,6,22,244,2022
Sentolo I,2,2,46,9,62,1,273,14,1181,59,21,10,229,2022
Sentolo II,1,2,43,7,38,3,235,20,1108,72,21,12,245,2022
Pengasih I,1,1,41,4,7,3,236,23,1152,23,15,14,261,2022
Pengasih II,0,2,42,4,4,4,264,23,1356,40,19,50,231,2022
Kokap I,1,2,61,7,10,3,181,7,1045,49,13,15,193,2022
Kokap II,0,1,80,5,5,2,121,7,613,20,9,8,118,2022
Girimulyo I,0,0,64,4,4,1,102,7,447,17,4,2,669,2022
Girimulyo II,1,1,44,13,4,1,101,7,519,42,6,10,115,2022
Nanggulan,1,1,33,5,8,3,288,27,1357,46,14,0,264,2022
Kalibawang,0,1,25,8,11,1,285,17,1320,64,27,21,202,2022
Samigaluh I,0,1,41,14,13,2,135,13,808,51,8,5,296,2022
Samigaluh II,0,1,29,13,5,1,94,12,424,16,3,9,82,2022
Danurejan I,2,1,16,3,3,0,53,8,264,12,22,4,46,2022
Danurejan II,2,2,23,3,2,1,53,3,277,17,49,9,130,2022
Gondokusuman I,2,2,49,4,3,1,162,7,723,75,72,37,524,2022
Gondokusuman II,1,2,16,4,3,0,44,5,305,23,22,51,59,2022
Gondomanan,3,2,25,3,3,6,93,15,405,17,31,12,118,2022
Gedongtengen,2,2,32,6,4,1,80,11,491,30,39,9,183,2022
Jetis,1,3,36,9,15,1,158,10,766,68,63,30,322,2022
Kotagede I,2,2,32,5,4,1,139,17,767,67,38,43,249,2022
Kotagede II,2,1,15,3,2,1,146,11,421,27,11,15,217,2022
Kraton,2,3,43,5,4,2,96,4,483,29,43,15,183,2022
Mergangsan,2,2,59,5,4,3,158,17,1026,29,71,42,543,2022
Mantrijeron,2,4,55,7,5,1,225,14,929,39,62,33,595,2022
Ngampilan,2,1,21,3,3,0,89,4,524,31,30,23,187,2022
Pakualaman,1,2,19,5,3,0,62,8,278,19,13,0,100,2022
Tegalrejo,2,4,47,9,17,2,281,13,1152,47,66,33,382,2022
Umbulharjo I,2,4,33,8,5,6,368,26,1143,75,76,19,536,2022
Umbulharjo II,2,3,37,5,4,1,112,7,723,48,42,13,427,2022
Wirobrajan,2,2,36,5,4,0,180,13,798,49,55,4,163,2022
Srandakan,2,3,44,4,13,3,319,29,1427,156,10,24,316,2022
